dbn,district,school_dist,school_name,building_id,swd,ell,poverty,location_category_description,grades_text,longitude,latitude,borough_code,counts,opend_year
20K682,20,21,The Academy of Talented Scholars,K237,0.255,0.165,0.458,Elementary,"0K,01,02,03,04,05,SE",-73.986678,40.606994,K,2,2009
20K686,20,21,Brooklyn School of Inquiry,K237,0.073,0.088,0.281,K-8,"0K,01,02,03,04,05,06,07,08,SE",-73.986678,40.606994,K,2,2009
21K096,21,21,I.S. 096 Seth Low,K096,0.192,0.265,0.759,Junior High-Intermediate-Middle,"06,07,08,SE",-73.984985,40.608135,K,2,1929
21K100,21,21,P.S. 100 The Coney Island School,K100,0.163,0.222,0.525,Elementary,"PK,0K,01,02,03,04,05,SE",-73.97083,40.577591,K,2,1924
21K215,21,21,P.S. 215 Morris H. Weiss,K215,0.157,0.207,0.704,Elementary,"PK,0K,01,02,03,04,05,SE",-73.970171,40.602722,K,1,1925
21K225,21,21,P.S. K225 - The Eileen E. Zaglin,K225,0.194,0.354,0.815,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",-73.955856,40.58026,K,1,1928
21K238,21,21,P.S. 238 Anne Sullivan,K238,0.205,0.402,0.848,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",-73.964586,40.608801,K,1,1931
21K281,21,21,I.S. 281 Joseph B Cavallaro,K281,0.184,0.171,0.834,Junior High-Intermediate-Middle,"06,07,08,SE",-73.993565,40.594648,K,2,1966
21K303,21,21,I.S. 303 Herbert S. Eisenberg,K303,0.143,0.161,0.792,Junior High-Intermediate-Middle,"06,07,08,SE",-73.972009,40.582518,K,2,1965
21K329,21,21,P.S. 329 Surfside,K329,0.293,0.034,0.963,Elementary,"PK,0K,01,02,03,04,05,SE",-73.99577,40.574666,K,1,1974
21K337,21,21,International High School at Lafayette,K400,0.019,0.882,0.866,High school,"09,10,11,12",-73.986313,40.593028,K,5,2005
21K344,21,21,Rachel Carson High School for Coastal Studies,K303,0.163,0.195,0.746,High school,"09,10,11,12,SE",-73.972009,40.582518,K,2,2005
21K348,21,21,High School of Sports Management,K400,0.227,0.167,0.732,High school,"09,10,11,12,SE",-73.986313,40.593028,K,5,2005
21K410,21,21,Abraham Lincoln High School,K410,0.173,0.137,0.838,High school,"09,10,11,12,SE",-73.968733,40.582627,K,1,1930
21K468,21,21,Kingsborough Early College School,K400,0.18,0.023,0.699,Secondary School,"06,07,08,09,10,11,12,SE",-73.986313,40.593028,K,5,2006
21K525,21,21,Edward R. Murrow High School,K525,0.186,0.088,0.649,High school,"09,10,11,12,SE",-73.959141,40.619671,K,1,1974
21K540,21,21,John Dewey High School,K540,0.132,0.181,0.814,High school,"09,10,11,12,SE",-73.981925,40.58807,K,1,1969
21K559,21,21,Life Academy High School for Film and Music,K400,0.216,0.144,0.838,High school,"09,10,11,12,SE",-73.986313,40.593028,K,5,2007
21K572,21,21,Leaders High School,K400,0.209,0.145,0.762,High school,"09,10,11,12,SE",-73.986313,40.593028,K,5,2007
22K014,22,22,J.H.S. 014 Shell Bank,K014,0.223,0.227,0.889,Junior High-Intermediate-Middle,"06,07,08,SE",-73.938107,40.593232,K,3,1952
22K078,22,22,J.H.S. 078 Roy H. Mann,K078,0.266,0.051,0.681,Junior High-Intermediate-Middle,"06,07,08,SE",-73.912914,40.620537,K,2,1964
22K109,22,22,P.S. 109,K395,0.273,0.091,0.853,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",-73.933099,40.635842,K,1,1995
22K152,22,22,School of Science & Technology,K152,0.21,0.153,0.82,Elementary,"PK,0K,01,02,03,04,05,SE",-73.954269,40.632619,K,2,1907
22K236,22,22,P.S. 236 Mill Basin,K236,0.155,0.063,0.383,Elementary,"PK,0K,01,02,03,04,05,SE",-73.912005,40.615494,K,1,1933
22K240,22,22,Andries Hudde,K240,0.254,0.152,0.845,Junior High-Intermediate-Middle,"06,07,08,SE",-73.946836,40.623788,K,2,1951
22K315,22,22,P.S. K315,K152,0.246,0.175,0.862,Elementary,"PK,0K,01,02,03,04,05,SE",-73.954269,40.632619,K,2,1999
22K381,22,22,I. S. 381,K240,0.21,0.147,0.759,Junior High-Intermediate-Middle,"06,07,08,SE",-73.946836,40.623788,K,2,1999
22K535,22,22,Leon M. Goldstein High School for the Sciences,K535,0.174,0.007,0.481,High school,"09,10,11,12,SE",-73.934449,40.578356,K,1,2002
22K611,22,22,Origins High School,K495,0.118,0.287,0.799,High school,"09,10,11,12,SE",-73.936635,40.593157,K,4,2013
22K630,22,22,Professional Pathways High School,K495,0.214,0.049,0.811,High school,"09,10,11,12",-73.936635,40.593157,K,4,2013
22K889,22,15,P.S. 889,K338,0.112,0.066,0.543,Elementary,"PK,0K,01,02,SE",-73.97101,40.644861,K,2,2017
22K890,22,15,M.S. 890,K338,0.165,0.055,0.735,Junior High-Intermediate-Middle,"06,07,08,SE",-73.97101,40.644861,K,2,2017
23K150,23,23,P.S. 150 Christopher,K150,0.246,0.073,0.979,Elementary,"PK,0K,01,02,03,04,05,SE",-73.90514,40.668768,K,2,1907
23K156,23,23,P.S. 156 Waverly,K356,0.206,0.016,0.894,Elementary,"PK,0K,01,02,03,04,05,SE",-73.91788,40.665553,K,2,1999
23K178,23,23,P.S. 178 Saint Clair Mckelway,K178,0.181,0.059,0.9,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",-73.915337,40.67538,K,1,1915
